Signal Legend:

Key        Signal Name

0        = rx
1        = RISC_V_Core:CORE|Reg_PC:PCREG|Q[31..0]
2        = UART_Full_Duplex:UART|Reg_Param:RXREG|Q[7..0]

Data Table:

Signals-> 0 1         2   

sample

755       1 00000070h 0Ch 
756       1 00000074h 0Ch 
757       1 00000070h 0Ch 
758       1 00000074h 0Ch 
759       1 00000070h 0Ch 
760       1 00000074h 0Ch 
761       1 00000070h 0Ch 
762       1 00000074h 0Ch 
763       1 00000070h 0Ch 
764       1 00000074h 0Ch 
765       1 00000070h 0Ch 
766       1 00000074h 0Ch 
767       1 00000070h 0Ch 
768       1 00000074h 0Ch 
769       1 00000070h 0Ch 
770       1 00000074h 0Ch 
771       1 00000070h 0Ch 
772       1 00000074h 0Ch 
773       1 00000070h 0Ch 
774       1 00000074h 0Ch 
775       1 00000070h 0Ch 
776       1 00000074h 0Ch 
777       1 00000070h 0Ch 
778       1 00000074h 0Ch 
779       1 00000070h 0Ch 
780       1 00000074h 0Ch 
781       1 00000070h 0Ch 
782       1 00000074h 0Ch 
783       1 00000070h 0Ch 
784       1 00000074h 0Ch 
785       1 00000070h 0Ch 
786       1 00000074h 0Ch 
787       1 00000070h 0Ch 
788       1 00000074h 0Ch 
789       1 00000070h 0Ch 
790       1 00000074h 0Ch 
791       1 00000070h 0Ch 
792       1 00000074h 0Ch 
793       1 00000070h 0Ch 
794       1 00000074h 0Ch 
795       1 00000070h 0Ch 
796       1 00000074h 0Ch 
797       1 00000070h 0Ch 
798       1 00000074h 0Ch 
799       1 00000070h 0Ch 
800       1 00000074h 0Ch 
801       1 00000070h 0Ch 
802       1 00000074h 0Ch 
803       1 00000070h 0Ch 
804       1 00000074h 0Ch 
805       1 00000070h 0Ch 
806       1 00000074h 0Ch 
807       1 00000070h 0Ch 
808       1 00000074h 0Ch 
809       1 00000070h 0Ch 
810       1 00000074h 0Ch 
811       1 00000070h 0Ch 
812       1 00000074h 0Ch 
813       1 00000070h 0Ch 
814       1 00000074h 0Ch 
815       1 00000070h 0Ch 
816       1 00000074h 0Ch 
817       1 00000070h 0Ch 
818       1 00000074h 0Ch 
819       1 00000070h 0Ch 
820       1 00000074h 0Ch 
821       1 00000070h 0Ch 
822       1 00000074h 0Ch 
823       1 00000070h 0Ch 
824       1 00000074h 0Ch 
825       1 00000070h 0Ch 
826       1 00000074h 0Ch 
827       1 00000070h 0Ch 
828       1 00000074h 0Ch 
829       1 00000070h 0Ch 
830       1 00000074h 0Ch 
831       1 00000070h 0Ch 
832       1 00000074h 0Ch 
833       1 00000070h 0Ch 
834       1 00000074h 0Ch 
835       1 00000070h 0Ch 
836       1 00000074h 0Ch 
837       1 00000070h 0Ch 
838       1 00000074h 0Ch 
839       1 00000070h 0Ch 
840       1 00000074h 0Ch 
841       1 00000070h 0Ch 
842       1 00000074h 0Ch 
843       1 00000070h 0Ch 
844       1 00000074h 0Ch 
845       1 00000070h 0Ch 
846       1 00000074h 0Ch 
847       1 00000070h 0Ch 
848       1 00000074h 0Ch 
849       1 00000070h 0Ch 
850       1 00000074h 0Ch 
851       1 00000070h 0Ch 
852       1 00000074h 0Ch 
853       1 00000070h 0Ch 
854       1 00000074h 0Ch 
855       1 00000070h 0Ch 
856       1 00000074h 0Ch 
857       1 00000070h 0Ch 
858       1 00000074h 0Ch 
859       1 00000070h 0Ch 
860       1 00000074h 0Ch 
861       1 00000070h 0Ch 
862       1 00000074h 0Ch 
863       1 00000070h 0Ch 
864       1 00000074h 0Ch 
865       1 00000070h 0Ch 
866       1 00000074h 0Ch 
867       1 00000070h 0Ch 
868       1 00000074h 0Ch 
869       1 00000070h 0Ch 
870       1 00000074h 0Ch 
871       1 00000070h 0Ch 
872       1 00000074h 0Ch 
873       1 00000070h 0Ch 
874       1 00000074h 0Ch 
875       1 00000070h 0Ch 
876       1 00000074h 0Ch 
877       1 00000070h 0Ch 
878       1 00000074h 0Ch 
879       1 00000070h 0Ch 
880       1 00000074h 0Ch 
881       1 00000070h 0Ch 
882       1 00000074h 0Ch 
883       1 00000070h 0Ch 
884       1 00000074h 0Ch 
885       1 00000070h 0Ch 
886       1 00000074h 0Ch 
887       1 00000070h 0Ch 
888       1 00000074h 0Ch 
889       1 00000070h 0Ch 
890       1 00000074h 0Ch 
891       1 00000070h 0Ch 
892       1 00000074h 0Ch 
893       1 00000070h 0Ch 
894       1 00000074h 0Ch 
895       1 00000070h 0Ch 
