Signal Legend:

Key        Signal Name

0        = rx
1        = RISC_V_Core:CORE|Reg_PC:PCREG|Q[31..0]
2        = UART_Full_Duplex:UART|Reg_Param:RXREG|Q[7..0]

Data Table:

Signals-> 0 1         2   

sample

80        1 0000009Ch 0Ch 
81        1 000000A0h 0Ch 
82        1 000000A4h 0Ch 
83        1 000000A8h 0Ch 
84        1 00000088h 0Ch 
85        1 0000008Ch 0Ch 
86        1 00000098h 0Ch 
87        1 0000009Ch 0Ch 
88        1 000000A0h 0Ch 
89        1 000000A4h 0Ch 
90        1 000000A8h 0Ch 
91        1 00000088h 0Ch 
92        1 0000008Ch 0Ch 
93        1 00000090h 0Ch 
94        1 00000094h 0Ch 
95        1 000000ACh 0Ch 
96        1 000000B0h 0Ch 
97        1 000000B4h 0Ch 
98        1 000000B8h 0Ch 
99        1 000000BCh 0Ch 
100       1 000000ACh 0Ch 
101       1 000000B0h 0Ch 
102       1 000000B4h 0Ch 
103       1 000000B8h 0Ch 
104       1 000000BCh 0Ch 
105       1 000000ACh 0Ch 
106       1 000000B0h 0Ch 
107       1 000000B4h 0Ch 
108       1 000000B8h 0Ch 
109       1 000000BCh 0Ch 
110       1 000000ACh 0Ch 
111       1 000000B0h 0Ch 
112       1 000000B4h 0Ch 
113       1 000000B8h 0Ch 
114       1 000000BCh 0Ch 
115       1 000000ACh 0Ch 
116       1 000000B0h 0Ch 
117       1 000000B4h 0Ch 
118       1 000000B8h 0Ch 
119       1 000000BCh 0Ch 
120       1 000000ACh 0Ch 
121       1 000000B0h 0Ch 
122       1 000000B4h 0Ch 
123       1 000000B8h 0Ch 
124       1 000000BCh 0Ch 
125       1 000000ACh 0Ch 
126       1 000000B0h 0Ch 
127       1 000000B4h 0Ch 
128       1 000000B8h 0Ch 
129       1 000000BCh 0Ch 
130       1 000000ACh 0Ch 
131       1 000000B0h 0Ch 
132       1 000000B4h 0Ch 
133       1 000000B8h 0Ch 
134       1 000000BCh 0Ch 
135       1 000000ACh 0Ch 
136       1 000000B0h 0Ch 
137       1 000000B4h 0Ch 
138       1 000000B8h 0Ch 
139       1 000000BCh 0Ch 
140       1 000000ACh 0Ch 
141       1 000000B0h 0Ch 
142       1 000000B4h 0Ch 
143       1 000000B8h 0Ch 
144       1 000000BCh 0Ch 
145       1 000000ACh 0Ch 
146       1 000000B0h 0Ch 
147       1 000000B4h 0Ch 
148       1 000000B8h 0Ch 
149       1 000000BCh 0Ch 
150       1 000000ACh 0Ch 
151       1 000000B0h 0Ch 
152       1 000000B4h 0Ch 
153       1 000000B8h 0Ch 
154       1 000000BCh 0Ch 
155       1 00000040h 0Ch 
156       1 00000044h 0Ch 
157       1 00000048h 0Ch 
158       1 0000004Ch 0Ch 
159       1 00000050h 0Ch 
160       1 00000054h 0Ch 
161       1 00000058h 0Ch 
162       1 0000005Ch 0Ch 
163       1 00000060h 0Ch 
164       1 00000064h 0Ch 
165       1 00000068h 0Ch 
166       1 0000006Ch 0Ch 
167       1 00000070h 0Ch 
168       1 00000074h 0Ch 
169       1 00000070h 0Ch 
170       1 00000074h 0Ch 
171       1 00000070h 0Ch 
172       1 00000074h 0Ch 
173       1 00000070h 0Ch 
174       1 00000074h 0Ch 
175       1 00000070h 0Ch 
176       1 00000074h 0Ch 
177       1 00000070h 0Ch 
178       1 00000074h 0Ch 
179       1 00000070h 0Ch 
180       1 00000074h 0Ch 
181       1 00000070h 0Ch 
182       1 00000074h 0Ch 
183       1 00000070h 0Ch 
184       1 00000074h 0Ch 
185       1 00000070h 0Ch 
186       1 00000074h 0Ch 
187       1 00000070h 0Ch 
188       1 00000074h 0Ch 
189       1 00000070h 0Ch 
190       1 00000074h 0Ch 
191       1 00000070h 0Ch 
192       1 00000074h 0Ch 
193       1 00000070h 0Ch 
194       1 00000074h 0Ch 
195       1 00000070h 0Ch 
196       1 00000074h 0Ch 
197       1 00000070h 0Ch 
198       1 00000074h 0Ch 
199       1 00000070h 0Ch 
200       1 00000074h 0Ch 
201       1 00000070h 0Ch 
202       1 00000074h 0Ch 
203       1 00000070h 0Ch 
204       1 00000074h 0Ch 
205       1 00000070h 0Ch 
206       1 00000074h 0Ch 
207       1 00000070h 0Ch 
208       1 00000074h 0Ch 
209       1 00000070h 0Ch 
210       1 00000074h 0Ch 
211       1 00000070h 0Ch 
212       1 00000074h 0Ch 
213       1 00000070h 0Ch 
214       1 00000074h 0Ch 
215       1 00000070h 0Ch 
216       1 00000074h 0Ch 
217       1 00000070h 0Ch 
218       1 00000074h 0Ch 
219       1 00000070h 0Ch 
220       1 00000074h 0Ch 
221       1 00000070h 0Ch 
222       1 00000074h 0Ch 
223       1 00000070h 0Ch 
224       1 00000074h 0Ch 
225       1 00000070h 0Ch 
226       1 00000074h 0Ch 
227       1 00000070h 0Ch 
228       1 00000074h 0Ch 
229       1 00000070h 0Ch 
230       1 00000074h 0Ch 
231       1 00000070h 0Ch 
232       1 00000074h 0Ch 
233       1 00000070h 0Ch 
234       1 00000074h 0Ch 
235       1 00000070h 0Ch 
236       1 00000074h 0Ch 
237       1 00000070h 0Ch 
238       1 00000074h 0Ch 
239       1 00000070h 0Ch 
240       1 00000074h 0Ch 
241       1 00000070h 0Ch 
242       1 00000074h 0Ch 
243       1 00000070h 0Ch 
244       1 00000074h 0Ch 
245       1 00000070h 0Ch 
246       1 00000074h 0Ch 
247       1 00000070h 0Ch 
248       1 00000074h 0Ch 
249       1 00000070h 0Ch 
250       1 00000074h 0Ch 
251       1 00000070h 0Ch 
252       1 00000074h 0Ch 
253       1 00000070h 0Ch 
254       1 00000074h 0Ch 
255       1 00000070h 0Ch 
256       1 00000074h 0Ch 
257       1 00000070h 0Ch 
258       1 00000074h 0Ch 
259       1 00000070h 0Ch 
260       1 00000074h 0Ch 
261       1 00000070h 0Ch 
262       1 00000074h 0Ch 
263       1 00000070h 0Ch 
264       1 00000074h 0Ch 
265       1 00000070h 0Ch 
266       1 00000074h 0Ch 
267       1 00000070h 0Ch 
268       1 00000074h 0Ch 
269       1 00000070h 0Ch 
270       1 00000074h 0Ch 
271       1 00000070h 0Ch 
272       1 00000074h 0Ch 
273       1 00000070h 0Ch 
274       1 00000074h 0Ch 
275       1 00000070h 0Ch 
276       1 00000074h 0Ch 
277       1 00000070h 0Ch 
278       1 00000074h 0Ch 
279       1 00000070h 0Ch 
280       1 00000074h 0Ch 
281       1 00000070h 0Ch 
282       1 00000074h 0Ch 
283       1 00000070h 0Ch 
284       1 00000074h 0Ch 
285       1 00000070h 0Ch 
286       1 00000074h 0Ch 
287       1 00000070h 0Ch 
288       1 00000074h 0Ch 
289       1 00000070h 0Ch 
290       1 00000074h 0Ch 
291       1 00000070h 0Ch 
292       1 00000074h 0Ch 
293       1 00000070h 0Ch 
294       1 00000074h 0Ch 
295       1 00000070h 0Ch 
296       1 00000074h 0Ch 
297       1 00000070h 0Ch 
298       1 00000074h 0Ch 
299       1 00000070h 0Ch 
300       1 00000074h 0Ch 
301       1 00000070h 0Ch 
302       1 00000074h 0Ch 
303       1 00000070h 0Ch 
304       1 00000074h 0Ch 
305       1 00000070h 0Ch 
306       1 00000074h 0Ch 
307       1 00000070h 0Ch 
308       1 00000074h 0Ch 
309       1 00000070h 0Ch 
310       1 00000074h 0Ch 
311       1 00000070h 0Ch 
312       1 00000074h 0Ch 
313       1 00000070h 0Ch 
314       1 00000074h 0Ch 
